#srid: ENU
#ref point: None
#N;E;time;U;num;version
6512484.040;950079.340;01/01/1970 00:00:00;0.000;4104;v10
6512459.972;950072.371;01/01/1970 00:00:00;0.000;4104;v10
6512435.568;950065.338;01/01/1970 00:00:00;0.000;4104;v10
6512416.011;950049.068;01/01/1970 00:00:00;0.000;4104;v10
6512401.457;950027.373;01/01/1970 00:00:00;0.000;4104;v10
6512381.996;950010.709;01/01/1970 00:00:00;0.000;4104;v10
6512358.406;950001.850;01/01/1970 00:00:00;0.000;4104;v10
6512337.021;949987.057;01/01/1970 00:00:00;0.000;4104;v10
6512312.921;949976.582;01/01/1970 00:00:00;0.000;4104;v10
6512289.458;949965.380;01/01/1970 00:00:00;0.000;4104;v10
6512269.388;949950.143;01/01/1970 00:00:00;0.000;4104;v10
6512244.105;949954.289;01/01/1970 00:00:00;0.000;4104;v10
6512222.871;949940.502;01/01/1970 00:00:00;0.000;4104;v10
6512203.223;949924.702;01/01/1970 00:00:00;0.000;4104;v10
6512181.536;949910.699;01/01/1970 00:00:00;0.000;4104;v10
6512163.489;949893.276;01/01/1970 00:00:00;0.000;4104;v10
6512155.508;949869.208;01/01/1970 00:00:00;0.000;4104;v10
6512140.419;949848.001;01/01/1970 00:00:00;0.000;4104;v10
6512126.887;949826.808;01/01/1970 00:00:00;0.000;4104;v10
6512115.479;949803.191;01/01/1970 00:00:00;0.000;4104;v10
6512096.564;949786.270;01/01/1970 00:00:00;0.000;4104;v10
6512070.707;949784.516;01/01/1970 00:00:00;0.000;4104;v10
6512045.818;949781.943;01/01/1970 00:00:00;0.000;4104;v10
6512021.093;949775.233;01/01/1970 00:00:00;0.000;4104;v10
6511996.959;949766.628;01/01/1970 00:00:00;0.000;4104;v10
6511976.147;949752.277;01/01/1970 00:00:00;0.000;4104;v10
6511956.265;949736.174;01/01/1970 00:00:00;0.000;4104;v10
6511933.602;949725.483;01/01/1970 00:00:00;0.000;4104;v10
6511908.706;949717.299;01/01/1970 00:00:00;0.000;4104;v10
6511883.316;949710.616;01/01/1970 00:00:00;0.000;4104;v10
6511859.594;949701.214;01/01/1970 00:00:00;0.000;4104;v10
6511833.497;949666.191;01/01/1970 00:00:00;0.000;4104;v10
6511809.247;949673.879;01/01/1970 00:00:00;0.000;4104;v10
6511788.962;949688.888;01/01/1970 00:00:00;0.000;4104;v10
6511767.054;949702.248;01/01/1970 00:00:00;0.000;4104;v10
6511743.796;949712.468;01/01/1970 00:00:00;0.000;4104;v10
6511762.480;949729.166;01/01/1970 00:00:00;0.000;4104;v10
6511766.836;949726.962;01/01/1970 00:00:00;0.000;4104;v10
6511742.207;949719.858;01/01/1970 00:00:00;0.000;4104;v10
6511716.566;949717.939;01/01/1970 00:00:00;0.000;4104;v10
6511691.635;949711.626;01/01/1970 00:00:00;0.000;4104;v10
6511669.153;949699.914;01/01/1970 00:00:00;0.000;4104;v10
6511648.043;949686.431;01/01/1970 00:00:00;0.000;4104;v10
6511629.141;949669.820;01/01/1970 00:00:00;0.000;4104;v10
6511614.814;949648.190;01/01/1970 00:00:00;0.000;4104;v10
6511601.697;949626.276;01/01/1970 00:00:00;0.000;4104;v10
6511586.613;949605.145;01/01/1970 00:00:00;0.000;4104;v10
6511575.129;949582.386;01/01/1970 00:00:00;0.000;4104;v10
6511560.581;949560.764;01/01/1970 00:00:00;0.000;4104;v10
6511582.042;949547.345;01/01/1970 00:00:00;0.000;4104;v10
6511597.560;949527.152;01/01/1970 00:00:00;0.000;4104;v10
6511591.451;949502.616;01/01/1970 00:00:00;0.000;4104;v10
6511600.461;949478.167;01/01/1970 00:00:00;0.000;4104;v10
6511603.004;949453.202;01/01/1970 00:00:00;0.000;4104;v10
6511610.315;949427.965;01/01/1970 00:00:00;0.000;4104;v10
6511608.626;949402.782;01/01/1970 00:00:00;0.000;4104;v10
6511566.964;949386.781;01/01/1970 00:00:00;0.000;4104;v10
6511540.651;949387.460;01/01/1970 00:00:00;0.000;4104;v10
6511515.071;949381.561;01/01/1970 00:00:00;0.000;4104;v10
6511490.515;949376.245;01/01/1970 00:00:00;0.000;4104;v10
6511464.424;949374.186;01/01/1970 00:00:00;0.000;4104;v10
6511438.577;949369.936;01/01/1970 00:00:00;0.000;4104;v10
6511413.469;949367.447;01/01/1970 00:00:00;0.000;4104;v10
6511388.580;949362.144;01/01/1970 00:00:00;0.000;4104;v10
6511362.845;949357.889;01/01/1970 00:00:00;0.000;4104;v10
6511339.995;949345.332;01/01/1970 00:00:00;0.000;4104;v10
6511329.794;949321.273;01/01/1970 00:00:00;0.000;4104;v10
6511311.419;949303.936;01/01/1970 00:00:00;0.000;4104;v10
6511285.848;949300.999;01/01/1970 00:00:00;0.000;4104;v10
6511261.904;949291.604;01/01/1970 00:00:00;0.000;4104;v10
6511236.737;949284.909;01/01/1970 00:00:00;0.000;4104;v10
6511211.710;949289.899;01/01/1970 00:00:00;0.000;4104;v10
6511190.140;949303.401;01/01/1970 00:00:00;0.000;4104;v10
6511195.911;949278.537;01/01/1970 00:00:00;0.000;4104;v10
6511215.497;949262.700;01/01/1970 00:00:00;0.000;4104;v10
6511240.884;949261.124;01/01/1970 00:00:00;0.000;4104;v10
6511264.977;949252.275;01/01/1970 00:00:00;0.000;4104;v10
6511289.976;949243.856;01/01/1970 00:00:00;0.000;4104;v10
6511328.287;949218.374;01/01/1970 00:00:00;0.000;4104;v10
6511353.099;949210.821;01/01/1970 00:00:00;0.000;4104;v10
6511378.908;949208.683;01/01/1970 00:00:00;0.000;4104;v10
6511403.748;949204.558;01/01/1970 00:00:00;0.000;4104;v10
6511428.975;949199.014;01/01/1970 00:00:00;0.000;4104;v10
6511454.360;949194.633;01/01/1970 00:00:00;0.000;4104;v10
6511479.504;949195.250;01/01/1970 00:00:00;0.000;4104;v10
6511503.765;949201.515;01/01/1970 00:00:00;0.000;4104;v10
6511527.971;949209.184;01/01/1970 00:00:00;0.000;4104;v10
6511553.517;949211.499;01/01/1970 00:00:00;0.000;4104;v10
6511578.590;949215.860;01/01/1970 00:00:00;0.000;4104;v10
6511604.171;949216.303;01/01/1970 00:00:00;0.000;4104;v10
6511629.128;949212.329;01/01/1970 00:00:00;0.000;4104;v10
6511654.041;949204.538;01/01/1970 00:00:00;0.000;4104;v10
6511681.367;949201.403;01/01/1970 00:00:00;0.000;4104;v10
6511703.115;949214.238;01/01/1970 00:00:00;0.000;4104;v10
6511695.093;949189.078;01/01/1970 00:00:00;0.000;4104;v10
6511672.485;949176.980;01/01/1970 00:00:00;0.000;4104;v10
6511646.227;949168.069;01/01/1970 00:00:00;0.000;4104;v10
6511622.071;949158.917;01/01/1970 00:00:00;0.000;4104;v10
6511596.856;949153.782;01/01/1970 00:00:00;0.000;4104;v10
6511575.634;949140.224;01/01/1970 00:00:00;0.000;4104;v10
6511602.030;949138.842;01/01/1970 00:00:00;0.000;4104;v10
6511626.649;949142.988;01/01/1970 00:00:00;0.000;4104;v10
6511651.907;949143.678;01/01/1970 00:00:00;0.000;4104;v10
6511631.059;949128.391;01/01/1970 00:00:00;0.000;4104;v10
6511608.016;949116.543;01/01/1970 00:00:00;0.000;4104;v10
6511584.311;949107.528;01/01/1970 00:00:00;0.000;4104;v10
6511562.213;949094.318;01/01/1970 00:00:00;0.000;4104;v10
6511536.481;949090.139;01/01/1970 00:00:00;0.000;4104;v10
6511514.298;949077.555;01/01/1970 00:00:00;0.000;4104;v10
6511493.288;949063.754;01/01/1970 00:00:00;0.000;4104;v10
6511469.510;949055.677;01/01/1970 00:00:00;0.000;4104;v10
6511444.561;949048.895;01/01/1970 00:00:00;0.000;4104;v10
6511469.192;949042.363;01/01/1970 00:00:00;0.000;4104;v10
6511494.155;949041.273;01/01/1970 00:00:00;0.000;4104;v10
6511520.073;949036.325;01/01/1970 00:00:00;0.000;4104;v10
6511543.062;949046.851;01/01/1970 00:00:00;0.000;4104;v10
6511569.089;949050.082;01/01/1970 00:00:00;0.000;4104;v10
6511595.299;949044.110;01/01/1970 00:00:00;0.000;4104;v10
6511622.680;949047.832;01/01/1970 00:00:00;0.000;4104;v10
6511648.518;949046.395;01/01/1970 00:00:00;0.000;4104;v10
6511672.696;949056.092;01/01/1970 00:00:00;0.000;4104;v10
6511699.202;949060.161;01/01/1970 00:00:00;0.000;4104;v10
6511723.919;949063.991;01/01/1970 00:00:00;0.000;4104;v10
6511746.613;949075.463;01/01/1970 00:00:00;0.000;4104;v10
6511769.668;949087.622;01/01/1970 00:00:00;0.000;4104;v10
6511791.407;949100.223;01/01/1970 00:00:00;0.000;4104;v10
6511814.719;949110.500;01/01/1970 00:00:00;0.000;4104;v10
6511839.201;949119.483;01/01/1970 00:00:00;0.000;4104;v10
6511862.263;949129.069;01/01/1970 00:00:00;0.000;4104;v10
6511881.963;949146.195;01/01/1970 00:00:00;0.000;4104;v10
6511870.701;949123.350;01/01/1970 00:00:00;0.000;4104;v10
6511846.453;949111.941;01/01/1970 00:00:00;0.000;4104;v10
6511822.136;949104.277;01/01/1970 00:00:00;0.000;4104;v10
6511804.608;949085.893;01/01/1970 00:00:00;0.000;4104;v10
6511796.611;949061.356;01/01/1970 00:00:00;0.000;4104;v10
6511784.819;949039.155;01/01/1970 00:00:00;0.000;4104;v10
6511761.558;949027.395;01/01/1970 00:00:00;0.000;4104;v10
6511744.224;949008.302;01/01/1970 00:00:00;0.000;4104;v10
6511732.099;948986.114;01/01/1970 00:00:00;0.000;4104;v10
6511714.001;948967.364;01/01/1970 00:00:00;0.000;4104;v10
6511708.345;948942.965;01/01/1970 00:00:00;0.000;4104;v10
6511698.383;948919.287;01/01/1970 00:00:00;0.000;4104;v10
6511675.858;948906.482;01/01/1970 00:00:00;0.000;4104;v10
6511651.994;948899.032;01/01/1970 00:00:00;0.000;4104;v10
6511633.727;948881.613;01/01/1970 00:00:00;0.000;4104;v10
6511612.379;948867.670;01/01/1970 00:00:00;0.000;4104;v10
6511590.510;948854.605;01/01/1970 00:00:00;0.000;4104;v10
6511565.733;948846.568;01/01/1970 00:00:00;0.000;4104;v10
6511541.124;948839.926;01/01/1970 00:00:00;0.000;4104;v10
6511518.164;948830.101;01/01/1970 00:00:00;0.000;4104;v10
6511531.402;948808.444;01/01/1970 00:00:00;0.000;4104;v10
6511556.284;948802.604;01/01/1970 00:00:00;0.000;4104;v10
6511582.509;948799.749;01/01/1970 00:00:00;0.000;4104;v10
6511561.139;948785.261;01/01/1970 00:00:00;0.000;4104;v10
6511537.111;948776.492;01/01/1970 00:00:00;0.000;4104;v10
6511515.014;948763.280;01/01/1970 00:00:00;0.000;4104;v10
6511493.105;948749.203;01/01/1970 00:00:00;0.000;4104;v10
6511497.106;948699.784;01/01/1970 00:00:00;0.000;4104;v10
