WKT,link_id,source,target,one_way
"LINESTRING (950380.6 6433762.9,950373.1 6433774.2,950358.5 6433788.5,950354.5 6433793.3,950349.1 6433802.6)",11812,16508,16509,0
"LINESTRING (950417.1 6434178.2,950417.3 6434183.6,950418.9 6434203.3,950421.8 6434222.0,950422.8 6434245.1,950426.1 6434251.4,950428.8 6434253.7,950433.5 6434256.2,950444.4 6434262.7,950455.5 6434268.1,950477.9 6434283.0)",11813,16510,16505,0
"LINESTRING (950318.7 6433824.1,950312.7 6433829.0,950307.3 6433830.8,950301.4 6433831.3,950293.3 6433827.9,950283.4 6433824.6,950277.5 6433827.5,950266.6 6433835.3,950261.5 6433836.9,950256.3 6433826.7)",11814,16511,16512,0
"LINESTRING (950330.1 6433844.0,950339.8 6433837.3,950350.2 6433831.1,950358.1 6433827.0,950368.4 6433820.2,950375.0 6433814.4)",11815,16513,16514,0
"LINESTRING (950389.8 6433795.1,950384.9 6433802.2,950379.2 6433808.5,950373.3 6433809.2,950367.2 6433805.8,950360.8 6433802.1,950354.0 6433800.5,950349.1 6433802.6)",11816,16515,16509,0
"LINESTRING (949972.7 6433816.6,949967.2 6433818.0)",11817,16516,16517,0
"LINESTRING (950318.7 6433824.1,950317.3 6433819.9,950319.3 6433815.5,950324.5 6433806.8,950329.2 6433795.7,950329.7 6433792.5)",11818,16511,16518,0
"LINESTRING (950349.1 6433802.6,950344.9 6433806.3,950338.4 6433813.0,950331.3 6433822.2,950326.2 6433828.4,950320.6 6433828.2,950318.7 6433824.1)",11819,16509,16511,0
"LINESTRING (950362.4 6433736.6,950358.0 6433733.7,950353.2 6433733.3,950346.6 6433735.8,950337.2 6433743.0,950319.9 6433756.6,950309.5 6433769.1,950300.5 6433776.9,950288.4 6433780.0,950266.2 6433782.0,950257.1 6433783.9,950249.9 6433788.4,950242.1 6433796.1,950220.4 6433825.3,950208.0 6433833.1,950198.3 6433838.9,950171.0 6433848.8)",11820,16519,1074,0
"LINESTRING (950413.4 6433665.8,950418.8 6433659.3,950419.1 6433658.8,950427.4 6433645.8,950432.1 6433635.9,950438.9 6433627.7,950457.0 6433616.1,950481.3 6433599.5,950501.1 6433589.0,950523.8 6433574.1,950544.0 6433558.4,950561.7 6433546.2,950569.2 6433538.8,950572.6 6433534.1)",11821,16520,16521,0
"LINESTRING (950434.6 6434139.5,950437 6434143,950437.5 6434146.5,950436.3 6434150.1,950432.4 6434155.6,950425 6434164,950419.7 6434171.1,950417.1 6434178.2)",11822,16466,16510,0
"LINESTRING (950437.8 6433873.4,950434.9 6433876.1,950420.6 6433886.8,950396.5 6433901.6,950386.5 6433908.2)",11823,16522,16523,0
"LINESTRING (950302.8 6433999.3,950300.0 6434012.9,950290.9 6434027.0,950272.4 6434057.0,950258.2 6434078.9,950253.9 6434100.1,950253.4 6434106.9,950255.9 6434108.7,950259.8 6434108.2,950267.0 6434093.9,950273.4 6434085.6,950279.6 6434081.7,950286.6 6434080.3,950317.1 6434078.7,950327.9 6434076.5,950345.4 6434068.8,950375.2 6434056.8,950388.9 6434043.5,950399.3 6434031.8)",11824,16524,16525,0
"LINESTRING (950373.5 6433919.2,950369.6 6433923.6,950352.3 6433948.3,950347.2 6433952.3,950333.1 6433961.5,950315.1 6433979.2,950303.6 6433993.4,950302.8 6433999.3)",11825,16526,16524,0
"LINESTRING (950329.7 6433792.5,950331.1 6433783.4,950335.0 6433775.1,950344.4 6433766.4,950360.5 6433753.3,950365.4 6433746.6,950364.5 6433741.5,950362.4 6433736.6)",11826,16518,16519,0
"LINESTRING (949374.3 6434525.1,949377.6 6434518.9,949382.2 6434516.0,949390.0 6434514.1,949397.3 6434511.8,949408.0 6434505.4,949427.4 6434486.5,949444.9 6434461.1,949449.5 6434448.9,949453.5 6434434.9,949461.6 6434414.3,949471.7 6434396.0,949481.5 6434375.7,949488.7 6434365.2,949496.4 6434358.1,949512.0 6434348.3,949532.0 6434333.9,949544.8 6434326.9,949548.5 6434318.8,949546.1 6434312.6,949540.7 6434309.7,949534.6 6434312.4,949530.2 6434318.2,949519.6 6434328.2,949510.4 6434332.7,949499.1 6434337.6,949486.1 6434342.7,949476.6 6434348.3,949462.9 6434360.8,949448.3 6434376.0,949435.3 6434392.4,949425.7 6434407.0,949406.3 6434434.9,949399.1 6434443.5,949384.9 6434452.6,949370.3 6434459.4,949349.2 6434465.2,949324.1 6434471.7,949302.9 6434479.5,949283.6 6434487.8,949275.6 6434487.6,949272.0 6434483.7,949271.2 6434479.5,949275.9 6434474.3,949282.3 6434471.5,949292.8 6434469.1,949301.9 6434466.1,949316.9 6434458.1,949346.3 6434441.4,949361.7 6434431.7,949367.7 6434424.4,949375.6 6434413.3,949385.2 6434392.6,949397.6 6434361.5,949405 6434345,949414.8 6434326.0,949426.6 6434304.8,949432.3 6434293.7,949432.4 6434284.3,949430.0 6434279.7,949425.1 6434276.9,949419.2 6434276.1,949413.1 6434278.6,949408.6 6434283.1,949406.7 6434285.6)",11827,16527,16528,0
"LINESTRING (949406.7 6434285.6,949408.6 6434272.6,949413.8 6434265.1,949421.4 6434260.9,949432.6 6434261.2,949443.3 6434254.4,949464.6 6434231.8,949484.3 6434208.3,949506.1 6434181.8)",11828,16528,16529,0
"LINESTRING (949967.2 6433818.0,949960.7 6433821.7,949951.5 6433829.9,949929.6 6433849.6,949901.9 6433874.5,949879.5 6433891.6,949864.8 6433903.4,949857.2 6433912.7,949852.2 6433922.7,949846.4 6433934.9,949841.6 6433944.1,949837.2 6433946.6,949833.1 6433945.3,949829.0 6433942.6,949827.9 6433939.0,949829.0 6433931.8,949837.9 6433905.9,949843.1 6433890.6,949849.5 6433872.2,949855.3 6433861.1,949861.7 6433849.5,949861.5 6433844.8,949859.0 6433841.7,949855.1 6433840.7,949850.7 6433843.0,949847.2 6433847.2,949835.4 6433868.7,949827.1 6433883.4,949816.2 6433894.3,949803.6 6433904.8,949790.6 6433918.2,949784.1 6433927.8,949776.6 6433943.8,949763.5 6433974.4,949752.4 6433997.6,949748.4 6434008.9,949747.7 6434020.7,949749.5 6434032.8,949750.5 6434042.3,949749.7 6434052.6,949744.3 6434062.1,949724.5 6434082.4,949701.8 6434108.2,949667.8 6434145.0,949654.8 6434160.0,949650.9 6434167.7,949648.2 6434179.4,949646.1 6434190.0,949645.0 6434205.8,949638.9 6434219.8,949627.7 6434235.0,949621.7 6434254.2,949601.9 6434309.3,949595.5 6434330.6,949585.2 6434348.0,949558.9 6434378.9,949534.2 6434390.8,949516.4 6434400.8,949497.4 6434420.2,949473.6 6434454.0,949444.6 6434489.1,949423.7 6434508.2,949400.2 6434522.0,949387.3 6434527.7,949380.4 6434527.2,949374.3 6434525.1)",11829,16517,16527,0
