WKT,link_id,source,target,direction
"LINESTRING (666945.399750198 6838170.00034068,666945.20014416 6838185.69955688,666944.599966055 6838196.89952523,666942.799756565 6838201.90045582,666940.699681983 6838206.89975596,666936.200032525 6838209.70028749,666931.299838313 6838210.59976209,666923.199970134 6838210.60022872,666887.899982812 6838210.09952367,666881.599834861 6838210.19986915,666876.799951874 6838212.79981532,666871.900347889 6838218.19975158,666867.499710127 6838225.70030534,666865.799910156 6838233.70022519,666864.100189377 6838256.19975683,666865.300257921 6838282.69957548,666867.999777548 6838331.99979842,666870.399992183 6838357.60005144,666874.099760367 6838367.80053859,666879.399958681 6838373.00009657,666887.599958456 6838379.49948128,666891.199734088 6838381.20000259,666896.49978473 6838381.19985736,666900.99991219 6838381.09976252,666905.899917591 6838381.09967853,666912.199769358 6838383.69983448,666932.400232598 6838394.20009365,666942.29986603 6838398.89995468,666950.299967831 6838403.30044209,666954.799967621 6838403.69957155,666960.200364122 6838403.59996722,666969.59972459 6838403.4998955,666976.300275881 6838403.49965328)",troncon_de_route.TRONROUT0000000039834667,2,84,0
"LINESTRING (667021.199643143 6838166.9997471,667016.099688078 6838191.79983259,667010.899633108 6838215.69996748,667006.199987566 6838239.10031548,667002.699914864 6838250.70028765,666995.300302491 6838270.10027874,666989.200272893 6838293.8999365,666984.499794136 6838321.79962747,666980.299695837 6838352.7004733,666977.40007573 6838377.00007568,666976.599720701 6838391.09956145,666976.300275881 6838403.49965328)",troncon_de_route.TRONROUT0000000039834669,83,84,0
"LINESTRING (666377.29973888 6837803.79997895,666363.199646835 6837795.80010345,666354.900132711 6837788.89959713,666348.700132817 6837784.10041342,666348.099846046 6837783.50020019,666345.700019727 6837781.20051037)",troncon_de_route.TRONROUT0000000232984963,49,51,0
"LINESTRING (667294.199675987 6837766.60015571,667283.80015108 6837768.39964101)",troncon_de_route.TRONROUT0000000233778713,85,86,0
"LINESTRING (667148.09967843 6837729.50012031,667149.800301599 6837726.90012096,667152.999733172 6837723.80026279,667180.7999149 6837713.89992506,667193.300278787 6837708.19948029,667198.299874652 6837704.20009055,667200.600251225 6837701.19982771,667200.999643093 6837698.20027669,667198.400289243 6837689.59991945,667188.299928704 6837664.90025244)",troncon_de_route.TRONROUT0000000233778714,87,88,0
"LINESTRING (667148.09967843 6837729.50012031,667146.500256065 6837728.10055432,667143.499677256 6837727.40041526,667138.499871177 6837727.69992282,667122.199701057 6837732.20013641,667104.800247326 6837735.40029533,667082.700347004 6837737.49977652,667076.90033257 6837736.09953911,667071.199971005 6837733.30015144,667067.800219656 6837729.89962615,667066.599916922 6837726.90022611,667054.899998988 6837699.69948615)",troncon_de_route.TRONROUT0000000233778716,87,89,0
"LINESTRING (667148.09967843 6837729.50012031,667154.20026177 6837742.90016244,667156.299840445 6837747.80005773)",troncon_de_route.TRONROUT0000000233778717,87,90,0
"LINESTRING (667156.299840445 6837747.80005773,667134.200022645 6837756.29973657,667111.999707962 6837761.99954855,667082.800075494 6837768.79966118,667078.799714081 6837768.49988648,667073.400151633 6837768.20025096,667064.700225323 6837770.59975327,667058.0 6837774.2998208,667047.599831305 6837774.80008658,667036.299967934 6837772.30038469,667025.799700208 6837771.00020745,667013.699704665 6837770.2005165,666998.0 6837771.80043279,666976.099802329 6837776.59964974,666959.699839461 6837779.70007197,666941.100163984 6837781.70016905,666930.700286889 6837785.10010954,666918.0 6837789.40033243,666907.999748907 6837790.50003599,666888.299873904 6837791.30030185,666877.499754071 6837793.4996926,666868.199821708 6837797.0002121,666857.799793499 6837804.50045227,666850.199764873 6837808.40044481,666844.199929895 6837809.29958359,666841.100127422 6837808.90034055,666838.700239121 6837807.19968664,666836.200344221 6837804.50013229,666831.499675349 6837802.20001789,666825.899959855 6837799.10012012,666819.900313146 6837798.9998113)",troncon_de_route.TRONROUT0000000233778718,90,32,0
"LINESTRING (667156.299840445 6837747.80005773,667180.800116432 6837738.09956416,667193.300348365 6837733.29964297)",troncon_de_route.TRONROUT0000000233778719,90,91,0
"LINESTRING (667298.19998751 6837766.49984571,667306.100045886 6837770.29990582)",troncon_de_route.TRONROUT0000000233778720,92,93,0
