WKT,link_id,source,target,direction
"LINESTRING (2.54979609 48.63790597,2.54972376 48.63795247,2.54965667 48.63801968)",troncon_de_route.TRONROUT0000000002223285,"1549","1512","1"
"LINESTRING (2.54985878 48.63787562,2.54979609 48.63790597)",troncon_de_route.TRONROUT0000000002223286,"1535","1549","1"
"LINESTRING (2.5512514 48.6405524,2.55203516 48.6404807,2.55226871 48.64046988,2.55245328 48.64047147,2.55256721 48.6404809,2.5530551 48.64056638,2.55331946 48.64060335)",troncon_de_route.TRONROUT0000000002223290,"1554","1497","0"
"LINESTRING (2.54851594 48.63668139,2.54891649 48.63697615)",troncon_de_route.TRONROUT0000000002223294,"1555","1505","0"
"LINESTRING (2.54650331 48.63886675,2.54653178 48.63902697,2.54657644 48.63919894,2.54663828 48.63926754,2.54674804 48.63928775,2.54686502 48.63925761,2.54698746 48.63922479,2.54712207 48.63919652,2.54727018 48.63917729,2.54762883 48.63913818,2.54769135 48.63912762,2.54782458 48.63910204,2.54794846 48.63905933,2.54806422 48.6390139,2.54819471 48.63899101,2.54831564 48.63897527,2.5484217 48.63895229)",troncon_de_route.TRONROUT0000000002223295,"1556","1521","0"
"LINESTRING (2.54689862 48.6380416,2.54693935 48.63804086,2.54710633 48.6380352,2.54727638 48.63798907,2.547433 48.6379267,2.54757483 48.63784808,2.54769895 48.63777749,2.54785683 48.63772592,2.54803451 48.63773919,2.54818778 48.63775056)",troncon_de_route.TRONROUT0000000002223296,"1557","1558","0"
"LINESTRING (2.54662919 48.63749638,2.54660317 48.63752326,2.54654739 48.63753834,2.54650132 48.63753007,2.54647575 48.63750479,2.54646653 48.63747327)",troncon_de_route.TRONROUT0000000002223298,"1559","1560","1"
"LINESTRING (2.54631135 48.63877786,2.54636445 48.63875918,2.54641342 48.63874677,2.54662286 48.63869719,2.54666761 48.63870186,2.54671218 48.63872632)",troncon_de_route.TRONROUT0000000002223299,"1561","1562","-1"
"LINESTRING (2.54631135 48.63877786,2.5462961 48.63881468,2.54630141 48.6388291)",troncon_de_route.TRONROUT0000000002223301,"1561","1564","-1"
"LINESTRING (2.54810321 48.63638479,2.54902016 48.63612741)",troncon_de_route.TRONROUT0000000002223302,"1565","1532","-1"
"LINESTRING (2.54630141 48.6388291,2.54631475 48.63885613,2.54638377 48.63887888,2.54649106 48.6388703,2.54650331 48.63886675)",troncon_de_route.TRONROUT0000000002223304,"1564","1556","-1"
"LINESTRING (2.54650331 48.63886675,2.54668977 48.63880719,2.54672252 48.63878662,2.54672816 48.63876236,2.54671218 48.63872632)",troncon_de_route.TRONROUT0000000002223305,"1556","1562","-1"
"LINESTRING (2.54646653 48.63747327,2.54649258 48.63744279,2.54654291 48.63742949)",troncon_de_route.TRONROUT0000000002223307,"1560","1569","1"
"LINESTRING (2.54654291 48.63742949,2.54653578 48.63715601)",troncon_de_route.TRONROUT0000000002223309,"1569","1572","0"
"LINESTRING (2.54695614 48.63672764,2.54709364 48.63683611)",troncon_de_route.TRONROUT0000000002223312,"1573","1574","1"
"LINESTRING (2.54818778 48.63775056,2.54814552 48.63777199,2.54812085 48.63779978,2.54812996 48.63784479,2.54817582 48.63787825,2.54825589 48.63787855,2.54829816 48.63785532,2.54831478 48.63781671,2.54829886 48.63777437,2.54825426 48.63775261,2.54818778 48.63775056)",troncon_de_route.TRONROUT0000000002223314,"1558","1558","0"
"LINESTRING (2.54654291 48.63742949,2.54659035 48.63743686,2.54661999 48.63746216,2.54662919 48.63749638)",troncon_de_route.TRONROUT0000000002223324,"1569","1559","1"
"LINESTRING (2.54922636 48.63645291,2.54931751 48.63642717,2.5494072 48.63641402,2.54949821 48.63640447,2.54956209 48.63639391,2.54965054 48.63636636,2.54981111 48.6363175,2.54995395 48.63627846,2.55009537 48.63624661,2.55022854 48.63622732,2.55036035 48.63620803)",troncon_de_route.TRONROUT0000000002223334,"1531","1517","0"
"LINESTRING (2.54216397 48.64013644,2.54204497 48.64024213,2.54181664 48.64043194,2.54165112 48.64057883)",troncon_de_route.TRONROUT0000000002223341,"1589","1590","0"
"LINESTRING (2.54133337 48.63904664,2.54098232 48.63930255,2.54091859 48.63945072,2.54089598 48.63955228,2.54092266 48.63976017,2.54095024 48.63986552,2.54096468 48.63992044,2.54098616 48.63994751,2.54112042 48.63996062,2.54124928 48.63996921,2.54138754 48.63998953,2.54151606 48.6400386,2.54162697 48.64008221,2.54168911 48.64011573,2.54169418 48.64015712,2.54154122 48.64026448,2.54155043 48.64029779)",troncon_de_route.TRONROUT0000000002223343,"1593","1594","0"
"LINESTRING (2.54308043 48.63808189,2.54323248 48.63807708,2.54336829 48.6380659,2.54352329 48.63803502,2.54355188 48.63802433)",troncon_de_route.TRONROUT0000000002223344,"1595","1596","0"
"LINESTRING (2.54485109 48.63938845,2.5445266 48.63955632,2.54435113 48.63960063,2.54415818 48.63962597,2.54396418 48.63961534,2.54376233 48.63957229,2.54365945 48.63954041)",troncon_de_route.TRONROUT0000000002223346,"1599","1600","0"
"LINESTRING (2.54331652 48.63700069,2.54319966 48.63701643,2.54300139 48.63703007,2.54288446 48.6370539,2.54271556 48.63712432,2.54261866 48.63718601,2.54258176 48.63721555,2.54253385 48.63726214,2.5424872 48.63731953,2.5424652 48.63735183,2.54243064 48.63742456,2.5424158 48.63756932,2.54242312 48.6376638,2.54244419 48.63773764,2.54243159 48.63778166)",troncon_de_route.TRONROUT0000000002223348,"1603","1604","0"
